name,ring,quadrant,isNew,description
AWS,Hold,Platform,FALSE,
Azure,Hold,Platform,FALSE,
Docker,Hold,Platform,FALSE,
Open Source Strategy,Hold,Platform,FALSE,
Unix,Hold,Platform,FALSE,
Agile,Adopt,Techniques,FALSE,
ALM,Adopt,Techniques,FALSE,
Behavior Driven Development (BDD/Gherkin),Assess,Techniques,FALSE,
Blockchain,Hold,Techniques,FALSE,
Continuous Integration,Assess,Techniques,FALSE,
Data Science,Hold,Techniques,FALSE,
DevOps,Assess,Techniques,FALSE,
IOTTesting,Hold,Techniques,FALSE,
Media/VideoTesting,Assess,Techniques,FALSE,
Microservices,Assess,Techniques,FALSE,
MTV,Hold,Techniques,FALSE,
NFV Testing,Hold,Techniques,FALSE,
NLP,Hold,Techniques,FALSE,
SAFe,Assess,Techniques,FALSE,
Security Testing,Assess,Techniques,FALSE,
Service Virtualization,Assess,Techniques,FALSE,
Test Automation,Adopt,Techniques,FALSE,
App Dynamics,Hold,Tools,FALSE,
Appium,Hold,Tools,FALSE,
Bamboo,Hold,Tools,FALSE,
CA DevTest,Hold,Tools,FALSE,
Cucumber,Assess,Tools,FALSE,
Dynatrace,Hold,Tools,FALSE,
Eyeshare,Hold,Tools,FALSE,
Ginger by Amdocs,Assess,Tools,FALSE,
Hoverfly,Hold,Tools,FALSE,
Helm,Hold,Tools,FALSE,
HP Diagnostic,Hold,Tools,FALSE,
IBM Greenhat,Hold,Tools,FALSE,
Jenkins,Adopt,Tools,FALSE,
Jira,Adopt,Tools,FALSE,
Maven,Assess,Tools,FALSE,
Nunit,Hold,Tools,FALSE,
PACT,Hold,Tools,FALSE,
Perfecto,Hold,Tools,FALSE,
Postman,Assess,Tools,FALSE,
QC,Adopt,Tools,FALSE,
QTP,Hold,Tools,FALSE,
Rally,Adopt,Tools,FALSE,
RedHat,Hold,Tools,FALSE,
Selenium,Adopt,Tools,,
Sikuli,Hold,Tools,,
SoapUI,Adopt,Tools,,
SVN,Hold,Tools,,
TeamCity,Hold,Tools,,
Test NG,Assess,Tools,,
TOSCA,Hold,Tools,,
Web Reporting,Hold,Tools,,
Web Services Rest,Assess,Tools,,
BEAT,Hold,Prog. Language,,
Groovy,Assess,Prog. Language,,
Java,Adopt,Prog. Language,,
JUnit,Assess,Prog. Language,,
PL/SQL,Adopt,Prog. Language,,
Python,Hold,Prog. Language,,
Ruby,Hold,Prog. Language,,
VB,Assess,Prog. Language,,
